route,route_short_name,from,to,off_peak_tt,first_start_M_F,first_start_Sat,first_start_Sun,last_start_M_F,last_start_Sat,last_start_Sun,avg_freq_M_F,avg_freq_Sat,avg_freq_Sun,nTrips_M_F,nTrips_Sat,nTrips_Sun,Notes
Austral-SW-E,Austral-SW-E,Casula,Austral SW - Casula,59,4:30,,,23:30,,,1,,,,,,
Austral-SW-N,Austral-SW-N,Western Sydney Airport Business Park,Austral SW - Western Sydney Airport Business Park,55,4:30,,,23:30,,,1,,,,,,
Austral-SW-S,Austral-SW-S,Leppington,Austral SW - Leppington,17,4:30,,,23:30,,,1,,,,,,
Austral-SW-W,Austral-SW-W,Aerotropolis South,Austral SW - Aerotropolis South,35,4:30,,,23:30,,,1,,,,,,
B-AERO-BPRK,B Road Tway,Aerotropolis,Western Sydney Airport Business Park,10,4:30,,,23:30,,,5,,,,,,
B-BPRK-AERO,B Road Tway,Western Sydney Airport Business Park,Aerotropolis,10,4:30,,,23:30,,,5,,,,,,
C-STCK-STMR,C Road Tway,South Creek,St Marys,39,4:30,,,23:30,,,5,,,,,,
C-STMR-STCK,C Road Tway,St Marys,South Creek,39,4:30,,,23:30,,,5,,,,,,
D-MTDT-RSMR,D Road Tway,Mt Druitt,Rossmore,43,4:30,,,23:30,,,5,,,,,,
D-RSMR-MTDT,D Road Tway,Rossmore,Mt Druitt,43,4:30,,,23:30,,,5,,,,,,
E-BPRK-LPTN,E Road Tway,Western Sydney Airport Business Park,Leppington,27,4:30,,,23:30,,,5,,,,,,
E-LPTN-BPRK,E Road Tway,Leppington,Western Sydney Airport Business Park,27,4:30,,,23:30,,,5,,,,,,
KempsCreek-NE-E,KempsCreek-NE-E,Cabramatta,Kemps Creek NE - Cabramatta,71,4:30,,,23:30,,,1,,,,,,
KempsCreek-NE-N,KempsCreek-NE-N,Mt Druitt,Kemps Creek NE - Mt Druitt,69,4:30,,,23:30,,,1,,,,,,
KempsCreek-NE-S,KempsCreek-NE-S,Rossmore,Kemps Creek NE - Rossmore,32,4:30,,,23:30,,,1,,,,,,
KempsCreek-NE-W,KempsCreek-NE-W,Western Sydney Airport Business Park,Kemps Creek NE - Western Sydney Airport Business Park,30,4:30,,,23:30,,,1,,,,,,
KempsCreek-NW-E,KempsCreek-NW-E,Cabramatta,Kemps Creek NW - Cabramatta,78,4:30,,,23:30,,,1,,,,,,
KempsCreek-NW-N,KempsCreek-NW-N,St Marys,Kemps Creek NW - St Marys,60,4:30,,,23:30,,,1,,,,,,
KempsCreek-NW-S,KempsCreek-NW-S,South Creek,Kemps Creek NW - South Creek,35,4:30,,,23:30,,,1,,,,,,
KempsCreek-NW-W,KempsCreek-NW-W,Western Sydney Airport Business Park,Kemps Creek NW - Western Sydney Airport Business Park,25,4:30,,,23:30,,,1,,,,,,
KempsCreek-SE-E,KempsCreek-SE-E,Liverpool,Kemps Creek SE - Liverpool,68,4:30,,,23:30,,,1,,,,,,
KempsCreek-SE-N,KempsCreek-SE-N,Mt Druitt,Kemps Creek SE - Mt Druitt,74,4:30,,,23:30,,,1,,,,,,
KempsCreek-SE-S,KempsCreek-SE-S,Rossmore,Kemps Creek SE - Rossmore,28,4:30,,,23:30,,,1,,,,,,
KempsCreek-SE-W,KempsCreek-SE-W,Aerotropolis,Kemps Creek SE - Aerotropolis,35,4:30,,,23:30,,,1,,,,,,
KempsCreek-SW-E,KempsCreek-SW-E,Liverpool,Kemps Creek SW - Liverpool,74,4:30,,,23:30,,,1,,,,,,
KempsCreek-SW-N,KempsCreek-SW-N,St Marys,Kemps Creek SW - St Marys,64,4:30,,,23:30,,,1,,,,,,
KempsCreek-SW-S,KempsCreek-SW-S,South Creek,Kemps Creek SW - South Creek,30,4:30,,,23:30,,,1,,,,,,
KempsCreek-SW-W,KempsCreek-SW-W,Aerotropolis,Kemps Creek SW - Aerotropolis,30,4:30,,,23:30,,,1,,,,,,
Rossmore-NE-E,Rossmore-NE-E,Liverpool,Rossmore NE - Liverpool,66,4:30,,,23:30,,,1,,,,,,
Rossmore-NE-N,Rossmore-NE-N,Mt Druitt,Rossmore NE - Mt Druitt,82,4:30,,,23:30,,,1,,,,,,
Rossmore-NE-S,Rossmore-NE-S,Rossmore,Rossmore NE - Rossmore,23,4:30,,,23:30,,,1,,,,,,
Rossmore-NE-W,Rossmore-NE-W,Aerotropolis,Rossmore NE - Aerotropolis,32,4:30,,,23:30,,,1,,,,,,
Rossmore-NW-E,Rossmore-NW-E,Liverpool,Rossmore NW - Liverpool,70,4:30,,,23:30,,,1,,,,,,
Rossmore-NW-N,Rossmore-NW-N,St Marys,Rossmore NW - St Marys,69,4:30,,,23:30,,,1,,,,,,
Rossmore-NW-S,Rossmore-NW-S,South Creek,Rossmore NW - South Creek,24,4:30,,,23:30,,,1,,,,,,
Rossmore-NW-W,Rossmore-NW-W,Aerotropolis,Rossmore NW - Aerotropolis,23,4:30,,,23:30,,,1,,,,,,
Rossmore-SE-E,Rossmore-SE-E,Casula,Rossmore SE - Casula,71,4:30,,,23:30,,,1,,,,,,
Rossmore-SE-N,Rossmore-SE-N,Mt Druitt,Rossmore SE - Mt Druitt,84,4:30,,,23:30,,,1,,,,,,
Rossmore-SE-S,Rossmore-SE-S,Rossmore,Rossmore SE - Rossmore,18,4:30,,,23:30,,,1,,,,,,
Rossmore-SE-W,Rossmore-SE-W,Aerotropolis South,Rossmore SE - Aerotropolis South,28,4:30,,,23:30,,,1,,,,,,
Rossmore-SW-E,Rossmore-SW-E,Casula,Rossmore SW - Casula,75,4:30,,,23:30,,,1,,,,,,
Rossmore-SW-N,Rossmore-SW-N,St Marys,Rossmore SW - St Marys,74,4:30,,,23:30,,,1,,,,,,
Rossmore-SW-S,Rossmore-SW-S,South Creek,Rossmore SW - South Creek,18,4:30,,,23:30,,,1,,,,,,
Rossmore-SW-W,Rossmore-SW-W,Aerotropolis South,Rossmore SW - Aerotropolis South,21,4:30,,,23:30,,,1,,,,,,
