stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,mode,route,shape_id
2000371,2000371.0000000002,"Museum Station, Platform 1",-33.876152660443,151.209802055193,,PST1104,2.0,1,Train,['T2-C-L-A'],T2-CTYC-WSAR
2067143,2067143.0000000002,"Chatswood Station, Platform 3",-33.79748210698409,151.18087005146603,,PST1117,2.0,3,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2067143,2067143.0000000002,"Chatswood Station, Platform 3",-33.79748210698409,151.18087005146603,,PST1117,2.0,3,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2067142,2067142.0,"Chatswood Station, Platform 2",-33.797478449235484,151.180977793601,,PST1117,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2067142,2067142.0,"Chatswood Station, Platform 2",-33.797478449235484,151.180977793601,,PST1117,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2131123,2131123.0000000005,"Ashfield Station, Platform 3",-33.887641748351115,151.12573258556003,,PST1209,2.0,3,Train,['T2-A-L-C'],T2-WSAR-CTYC
2131125,2131124.9999999995,"Ashfield Station, Platform 5",-33.887765203875496,151.12554407162907,,PST1209,2.0,5,Train,['T2-C-L-A'],T2-CTYC-WSAR
2196291,2196291.0000000005,"Punchbowl Station, Platform 1",-33.925383487735004,151.055654842124,,PST1400,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2196291,2196291.0000000005,"Punchbowl Station, Platform 1",-33.925383487735004,151.055654842124,,PST1400,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2196292,2196292.0,"Punchbowl Station, Platform 2",-33.925446818350984,151.05564703959004,,PST1400,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2196292,2196292.0,"Punchbowl Station, Platform 2",-33.925446818350984,151.05564703959004,,PST1400,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2161252,2161252.0,"Guildford Station, Platform 2",-33.85437074464521,150.984519306255,,PST1283,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
2161251,2161251.0000000005,"Guildford Station, Platform 1",-33.854292213178994,150.984440052135,,PST1283,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2165201,2165200.9999999995,"Fairfield Station, Platform 1",-33.87235338415739,150.956966872617,,PST1285,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2165202,2165202.0,"Fairfield Station, Platform 2",-33.872441278211014,150.957035751012,,PST1285,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
2142323,2142323.0000000005,"Granville Station, Platform 3",-33.8329575420066,151.01209397019002,,PST1227,2.0,3,Train,['T2-A-L-C'],T2-WSAR-CTYC
2142324,2142324.0,"Granville Station, Platform 4",-33.833013280703,151.012042591545,,PST1227,2.0,4,Train,['T2-C-L-A'],T2-CTYC-WSAR
219281,219281.0,"Belmore Station, Platform 1",-33.9171663085213,151.088563573965,,PST1397,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
219281,219281.0,"Belmore Station, Platform 1",-33.9171663085213,151.088563573965,,PST1397,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
219282,219282.0,"Belmore Station, Platform 2",-33.91723791782569,151.088577807637,,PST1397,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
219282,219282.0,"Belmore Station, Platform 2",-33.91723791782569,151.088577807637,,PST1397,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
204981,204981.0,"Lewisham Station, Platform 1",-33.893281102974306,151.14746211975398,,PST1211,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
204982,204982.0,"Lewisham Station, Platform 2",-33.89336460766799,151.147390538455,,PST1211,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
213496,213496.0,"Burwood Station, Platform 6",-33.87736976344469,151.104194087103,,PST1207,2.0,6,Train,['T2-C-L-A'],T2-CTYC-WSAR
2161262,2161262.0,"Yennora Station, Platform 2",-33.8647635223457,150.971036352753,,PST1284,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
2161261,2161260.9999999995,"Yennora Station, Platform 1",-33.86468393795939,150.970989455921,,PST1284,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2194111,2194111.0000000005,"Campsie Station, Platform 1",-33.910456989137,151.10306955614107,,PST1396,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2194111,2194111.0000000005,"Campsie Station, Platform 1",-33.910456989137,151.10306955614107,,PST1396,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2194112,2194112.0,"Campsie Station, Platform 2",-33.9105285960023,151.103083800093,,PST1396,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2194112,2194112.0,"Campsie Station, Platform 2",-33.9105285960023,151.103083800093,,PST1396,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2166281,2166280.9999999995,"Canley Vale Station, Platform 1",-33.8872555366355,150.943555922799,,PST1286,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2166282,2166282.0,"Canley Vale Station, Platform 2",-33.88733513221239,150.943602809695,,PST1286,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
204261,204261.0,"Newtown Station, Platform 1",-33.89789687807,151.179851991581,,PST1214,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
204262,204262.0,"Newtown Station, Platform 2",-33.8979508480951,151.179854629584,,PST1214,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
2126159,2126159.0000000005,"Cherrybrook Station, Platform 1",-33.7367009875671,151.03209349029396,,PST4001,2.0,,Metro,['M-1-T-L'],M-1-TLWG-LVPL
2000351,2000351.0000000002,"Circular Quay Station, Platform 1",-33.861369391635705,151.210273928748,,PST1103,2.0,1,Train,['T2-C-L-A'],T2-CTYC-WSAR
2170831,2170831.0000000005,"Warwick Farm Station, Platform 1",-33.912991273372,150.935102147008,,PST1288,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2170832,2170832.0,"Warwick Farm Station, Platform 2",-33.91311447869979,150.93519428211002,,PST1288,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
2015121,2015120.9999999998,"Macdonaldtown Station, Platform 1",-33.8969103256996,151.185811140429,,PST1215,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2015122,2015122.0,"Macdonaldtown Station, Platform 2",-33.89694593830211,151.18582368817403,,PST1215,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
214063,214063.0,"Flemington Station, Platform 3",-33.86489549151311,151.069864390072,,PST1217,2.0,3,Train,['T2-A-L-C'],T2-WSAR-CTYC
214064,214064.0,"Flemington Station, Platform 4",-33.86495882232189,151.069856598977,,PST1217,2.0,4,Train,['T2-C-L-A'],T2-CTYC-WSAR
2193121,2193120.9999999995,"Hurlstone Park Station, Platform 1",-33.9103004438958,151.13222921821404,,PST1394,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2193121,2193120.9999999995,"Hurlstone Park Station, Platform 1",-33.9103004438958,151.13222921821404,,PST1394,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2193122,2193122.0,"Hurlstone Park Station, Platform 2",-33.91037922818289,151.132297866443,,PST1394,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2193122,2193122.0,"Hurlstone Park Station, Platform 2",-33.91037922818289,151.132297866443,,PST1394,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2000405,2000404.9999999998,"Wynyard Station, Platform 5",-33.86587020732789,151.205915817825,,PST1102,2.0,5,Train,['T2-C-L-A'],T2-CTYC-WSAR
2204121,2204120.9999999995,"Marrickville Station, Platform 1",-33.913839224404896,151.153419883902,,PST1392,1.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2204121,2204120.9999999995,"Marrickville Station, Platform 1",-33.913839224404896,151.153419883902,,PST1392,1.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2204122,2204122.0,"Marrickville Station, Platform 2",-33.91393136404261,151.15335952009397,,PST1392,1.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2204122,2204122.0,"Marrickville Station, Platform 2",-33.91393136404261,151.15335952009397,,PST1392,1.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2195131,2195131.0000000005,"Lakemba Station, Platform 1",-33.920045006929804,151.075947773788,,PST1398,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2195131,2195131.0000000005,"Lakemba Station, Platform 1",-33.920045006929804,151.075947773788,,PST1398,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2195132,2195132.0,"Lakemba Station, Platform 2",-33.920107264520794,151.07597235969797,,PST1398,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2195132,2195132.0,"Lakemba Station, Platform 2",-33.920107264520794,151.07597235969797,,PST1398,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2000381,2000380.9999999998,"St James Station, Platform 1",-33.87066293301131,151.211724684041,,PST1105,1.0,1,Train,['T2-C-L-A'],T2-CTYC-WSAR
2121226,2121226.0,"Epping Station, Platform 6",-33.7729183945084,151.08206461432198,,PST1429,2.0,6,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2121226,2121226.0,"Epping Station, Platform 6",-33.7729183945084,151.08206461432198,,PST1429,2.0,6,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2121225,2121224.9999999995,"Epping Station, Platform 5",-33.77289976121111,151.08235504393102,,PST1429,2.0,5,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2121225,2121224.9999999995,"Epping Station, Platform 5",-33.77289976121111,151.08235504393102,,PST1429,2.0,5,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
217934,217934.0,"Leppington Station, Platform 1",-33.954337701872106,150.80824049254,,PST1448,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
217935,217935.0,"Leppington Station, Platform 2",-33.954410697662894,150.808211307844,,PST1448,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
2113352,2113352.0,"Macquarie University Station, Platform 2",-33.777560136584,151.11803219973797,,PST1426,2.0,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2113352,2113352.0,"Macquarie University Station, Platform 2",-33.777560136584,151.11803219973797,,PST1426,2.0,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2113351,2113351.0000000005,"Macquarie University Station, Platform 1",-33.77747988705861,151.118276519092,,PST1426,2.0,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2113351,2113351.0000000005,"Macquarie University Station, Platform 1",-33.77747988705861,151.118276519092,,PST1426,2.0,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2135237,2135236.9999999995,"Strathfield Station, Platform 7",-33.87163454603531,151.09378696783804,,PST1206,2.0,7,Train,['T2-A-L-C'],T2-WSAR-CTYC
2135238,2135238.0,"Strathfield Station, Platform 8",-33.87166368720389,151.09372355015395,,PST1206,2.0,8,Train,['T2-C-L-A'],T2-CTYC-WSAR
2155265,2155264.9999999995,"Kellyville Station, Platform 1",-33.71350663249499,150.935323750977,,PST4006,2.0,,Metro,['M-1-T-L'],M-1-TLWG-LVPL
2155266,2155266.0,"Kellyville Station, Platform 2",-33.71352668992879,150.93525997120898,,PST4006,2.0,,Metro,['M-1-L-T'],M-1-LVPL-TLWG
2155267,2155267.0000000005,"Rouse Hill Station, Platform 1",-33.6919775951721,150.92433675612506,,PST4007,2.0,,Metro,['M-1-T-L'],M-1-TLWG-LVPL
2155268,2155268.0,"Rouse Hill Station, Platform 2",-33.692006301747,150.924284162751,,PST4007,2.0,,Metro,['M-1-L-T'],M-1-LVPL-TLWG
2155269,2155268.9999999995,"Tallawong Station, Platform 2",-33.69163403461846,150.90588259751414,,PST4008,2.0,,Metro,['M-1-T-L'],M-1-TLWG-LVPL
2000337,2000336.9999999998,"Central Station, Platform 17",-33.88410215930449,151.206822676011,,PST1100,2.0,17,Train,['T2-A-L-C'],T2-WSAR-CTYC
2000339,2000339.0000000002,"Central Station, Platform 19",-33.884196305839204,151.206967742632,,PST1100,2.0,19,Train,['T2-C-L-A'],T2-CTYC-WSAR
2166272,2166272.0,"Cabramatta Station, Platform 2",-33.8946936720897,150.938928235648,,PST1287,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
2142314,2142314.0,"Clyde Station, Platform 4",-33.8360320527337,151.01701046562803,,PST1220,2.0,4,Train,['T2-A-L-C'],T2-WSAR-CTYC
2142315,2142315.0000000005,"Clyde Station, Platform 5",-33.8361068426447,151.01692758809202,,PST1220,2.0,5,Train,['T2-C-L-A'],T2-CTYC-WSAR
2195141,2195140.9999999995,"Wiley Park Station, Platform 1",-33.9228473458418,151.067510321162,,PST1399,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2195141,2195140.9999999995,"Wiley Park Station, Platform 1",-33.9228473458418,151.067510321162,,PST1399,2.0,1,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2195142,2195142.0,"Wiley Park Station, Platform 2",-33.92293623719479,151.067546978467,,PST1399,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2195142,2195142.0,"Wiley Park Station, Platform 2",-33.92293623719479,151.067546978467,,PST1399,2.0,2,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
213053,213053.0,"Summer Hill Station, Platform 3",-33.890469735348994,151.13890948158107,,PST1210,2.0,3,Train,['T2-C-L-A'],T2-CTYC-WSAR
213052,213052.0,"Summer Hill Station, Platform 2",-33.890377965614604,151.13895906141795,,PST1210,2.0,2,Train,['T2-A-L-C'],T2-WSAR-CTYC
2153402,2153402.0,"Bella Vista Station, Platform 1",-33.7306966534012,150.944165770293,,PST4005,2.0,,Metro,['M-1-T-L'],M-1-TLWG-LVPL
2153403,2153403.0000000005,"Bella Vista Station, Platform 2",-33.730737812305605,150.944005883992,,PST4005,2.0,,Metro,['M-1-L-T'],M-1-LVPL-TLWG
2153404,2153404.0,"Norwest Station, Platform 1",-33.7342274637283,150.96388116348996,,PST4004,2.0,,Metro,['M-1-T-L'],M-1-TLWG-LVPL
2153405,2153404.9999999995,"Norwest Station, Platform 2",-33.73436138993979,150.963919687527,,PST4004,2.0,,Metro,['M-1-L-T'],M-1-LVPL-TLWG
204992,204992.0,"Petersham Station, Platform 2",-33.89396091178809,151.155349890427,,PST1212,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
204991,204991.0,"Petersham Station, Platform 1",-33.8938709588753,151.155345520147,,PST1212,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2113362,2113362.0,"North Ryde Station, Platform 2",-33.79431599508639,151.13802372515804,,PST1428,2.0,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
2113362,2113362.0,"North Ryde Station, Platform 2",-33.79431599508639,151.13802372515804,,PST1428,2.0,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
2113361,2113360.9999999995,"North Ryde Station, Platform 1",-33.7941706169415,151.138059885468,,PST1428,2.0,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
2113361,2113360.9999999995,"North Ryde Station, Platform 1",-33.7941706169415,151.138059885468,,PST1428,2.0,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
2170812,2170812.0,"Casula Station, Platform 2",-33.9501724678978,150.911892038379,,PST1290,2.0,2,Train,['T2-C-L-A'],T2-CTYC-WSAR
2170811,2170811.0000000005,"Casula Station, Platform 1",-33.95029425149969,150.911746240331,,PST1290,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
216762,216762.0,"Glenfield Station, Platform 2",-33.9724331201543,150.89277398845798,,PST1291,2.0,2,Train,['T2-A-L-C'],T2-WSAR-CTYC
216765,216765.0,"Glenfield Station, Platform 4",-33.972536991330706,150.892908517521,,PST1291,2.0,,Train,['T2-C-L-A'],T2-CTYC-WSAR
213495,213495.0,"Burwood Station, Platform 5",-33.877289160184496,151.10417941933295,,PST1207,2.0,5,Train,['T2-A-L-C'],T2-WSAR-CTYC
2141314,2141314.0,"Lidcombe Station, Platform 4",-33.8638356033267,151.044895948672,,PST1218,2.0,4,Train,['T2-C-L-A'],T2-CTYC-WSAR
2170821,2170820.9999999995,"Liverpool Station, Platform 1",-33.9247391214828,150.92728741197402,,PST1289,2.0,1,Train,['T2-A-L-C'],T2-WSAR-CTYC
2170824,2170824.0,"Liverpool Station, Platform 4",-33.92489177287389,150.92758628391803,,PST1289,2.0,4,Train,['T2-C-L-A'],T2-CTYC-WSAR
2015136,2015136.0,"Redfern Station, Platform 6",-33.891973308709,151.19875033027202,,PST1421,1.0,6,Train,['T2-C-L-A'],T2-CTYC-WSAR
2015135,2015135.0000000002,"Redfern Station, Platform 5",-33.89195184767091,151.19858721813299,,PST1421,2.0,5,Train,['T2-A-L-C'],T2-WSAR-CTYC
20560111,20560.111,"Crows Nest Station, Platform 2",-33.82544528214738,151.1988649779553,,PST2056011,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
20560111,20560.111,"Crows Nest Station, Platform 2",-33.82544528214738,151.1988649779553,,PST2056011,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
20560112,20560.112,"Crows Nest Station, Platform 1",-33.82534999856889,151.19904999000852,,PST2056011,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
20560112,20560.112,"Crows Nest Station, Platform 1",-33.82534999856889,151.19904999000852,,PST2056011,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
20560121,20560.121,"Victoria Cross Station, Platform 2",-33.83626454087036,151.20732399530235,,PST2056012,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
20560121,20560.121,"Victoria Cross Station, Platform 2",-33.83626454087036,151.20732399530235,,PST2056012,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
20560122,20560.122,"Victoria Cross Station, Platform 1",-33.836292789498685,151.20752990501268,,PST2056012,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
20560122,20560.122,"Victoria Cross Station, Platform 1",-33.836292789498685,151.20752990501268,,PST2056012,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
20560131,20560.131,"Barangaroo Station, Platform 1",-33.85849880194055,151.20260558726662,,PST2056013,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
20560131,20560.131,"Barangaroo Station, Platform 1",-33.85849880194055,151.20260558726662,,PST2056013,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
20560132,20560.132,"Barangaroo Station, Platform 2",-33.858501061973406,151.20251785253674,,PST2056013,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
20560132,20560.132,"Barangaroo Station, Platform 2",-33.858501061973406,151.20251785253674,,PST2056013,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
20560141,20560.141,"Martin Place Station, Platform 1",-33.866649952741106,151.21056829212188,,PST2056014,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
20560141,20560.141,"Martin Place Station, Platform 1",-33.866649952741106,151.21056829212188,,PST2056014,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
20560142,20560.142,"Martin Place Station, Platform 2",-33.8666200984353,151.210177608565,,PST2056014,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
20560142,20560.142,"Martin Place Station, Platform 2",-33.8666200984353,151.210177608565,,PST2056014,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
20560151,20560.151,"Pitt Street Station, Platform 1",-33.87346985518003,151.20896016868863,,PST2056015,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
20560151,20560.151,"Pitt Street Station, Platform 1",-33.87346985518003,151.20896016868863,,PST2056015,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
20560152,20560.152,"Pitt Street Station, Platform 2",-33.8733924559767,151.20832667004686,,PST2056015,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-1-LVPL-TLWG
20560152,20560.152,"Pitt Street Station, Platform 2",-33.8733924559767,151.20832667004686,,PST2056015,,2,Metro,"['M-1-L-T', 'M-2-B-E']",M-2-BKTN-EPNG
20560161,20560.161,"Central Station, Platform 1",-33.88387905906311,151.20667002636986,,PST1100,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-1-TLWG-LVPL
20560161,20560.161,"Central Station, Platform 1",-33.88387905906311,151.20667002636986,,PST1100,,1,Metro,"['M-1-T-L', 'M-2-E-B']",M-2-EPNG-BKTN
